Aug  9 10:17:04 raspberrypi seqgen2: Sequencer @ sec=0, msec=126
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer @ sec=0, msec=577
Aug  9 10:17:15 raspberrypi seqgen2: 10HZ W1 thread @ sec=0, msec=579
Aug  9 10:17:15 raspberrypi seqgen2: 1HZ W2 thread @ sec=0, msec=579
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer thread started @ sec=0, msec=579
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=0, msec=579
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer cycle 1 @ sec=0, msec=629
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=0, msec=629
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer cycle 2 @ sec=0, msec=680
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=0, msec=680
Aug  9 10:17:15 raspberrypi seqgen2: 10HZ W1 thread release 1 @ sec=0, msec=680
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer cycle 3 @ sec=0, msec=730
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=0, msec=730
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer cycle 4 @ sec=0, msec=780
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=0, msec=780
Aug  9 10:17:15 raspberrypi seqgen2: 10HZ W1 thread release 2 @ sec=0, msec=780
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer cycle 5 @ sec=0, msec=830
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=0, msec=830
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer cycle 6 @ sec=0, msec=880
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=0, msec=880
Aug  9 10:17:15 raspberrypi seqgen2: 10HZ W1 thread release 3 @ sec=0, msec=880
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer cycle 7 @ sec=0, msec=930
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=0, msec=930
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer cycle 8 @ sec=0, msec=980
Aug  9 10:17:15 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=0, msec=980
Aug  9 10:17:15 raspberrypi seqgen2: 10HZ W1 thread release 4 @ sec=0, msec=981
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 9 @ sec=1, msec=31
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=31
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 10 @ sec=1, msec=81
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=81
Aug  9 10:17:16 raspberrypi seqgen2: 10HZ W1 thread release 5 @ sec=1, msec=81
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 11 @ sec=1, msec=131
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=131
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 12 @ sec=1, msec=181
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=181
Aug  9 10:17:16 raspberrypi seqgen2: 10HZ W1 thread release 6 @ sec=1, msec=181
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 13 @ sec=1, msec=231
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=231
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 14 @ sec=1, msec=281
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=281
Aug  9 10:17:16 raspberrypi seqgen2: 10HZ W1 thread release 7 @ sec=1, msec=281
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 15 @ sec=1, msec=331
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=331
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 16 @ sec=1, msec=381
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=381
Aug  9 10:17:16 raspberrypi seqgen2: 10HZ W1 thread release 8 @ sec=1, msec=381
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 17 @ sec=1, msec=431
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=431
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 18 @ sec=1, msec=481
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=481
Aug  9 10:17:16 raspberrypi seqgen2: 10HZ W1 thread release 9 @ sec=1, msec=482
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 19 @ sec=1, msec=532
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=532
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 20 @ sec=1, msec=582
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=582
Aug  9 10:17:16 raspberrypi seqgen2: 10HZ W1 thread release 10 @ sec=1, msec=582
Aug  9 10:17:16 raspberrypi seqgen2: 1HZ W2 release 1 @ sec=1, msec=582
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 21 @ sec=1, msec=632
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=632
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 22 @ sec=1, msec=682
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=682
Aug  9 10:17:16 raspberrypi seqgen2: 10HZ W1 thread release 11 @ sec=1, msec=682
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 23 @ sec=1, msec=732
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=732
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 24 @ sec=1, msec=782
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=782
Aug  9 10:17:16 raspberrypi seqgen2: 10HZ W1 thread release 12 @ sec=1, msec=782
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 25 @ sec=1, msec=832
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=832
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 26 @ sec=1, msec=883
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=883
Aug  9 10:17:16 raspberrypi seqgen2: 10HZ W1 thread release 13 @ sec=1, msec=883
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 27 @ sec=1, msec=933
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=933
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer cycle 28 @ sec=1, msec=983
Aug  9 10:17:16 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=983
Aug  9 10:17:16 raspberrypi seqgen2: 10HZ W1 thread release 14 @ sec=1, msec=983
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 29 @ sec=2, msec=33
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=33
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 30 @ sec=2, msec=83
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=83
Aug  9 10:17:17 raspberrypi seqgen2: 10HZ W1 thread release 15 @ sec=2, msec=83
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 31 @ sec=2, msec=133
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=133
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 32 @ sec=2, msec=184
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=184
Aug  9 10:17:17 raspberrypi seqgen2: 10HZ W1 thread release 16 @ sec=2, msec=184
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 33 @ sec=2, msec=234
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=234
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 34 @ sec=2, msec=284
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=284
Aug  9 10:17:17 raspberrypi seqgen2: 10HZ W1 thread release 17 @ sec=2, msec=284
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 35 @ sec=2, msec=334
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=334
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 36 @ sec=2, msec=384
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=384
Aug  9 10:17:17 raspberrypi seqgen2: 10HZ W1 thread release 18 @ sec=2, msec=384
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 37 @ sec=2, msec=434
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=434
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 38 @ sec=2, msec=484
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=484
Aug  9 10:17:17 raspberrypi seqgen2: 10HZ W1 thread release 19 @ sec=2, msec=485
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 39 @ sec=2, msec=535
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=535
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 40 @ sec=2, msec=585
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=585
Aug  9 10:17:17 raspberrypi seqgen2: 10HZ W1 thread release 20 @ sec=2, msec=585
Aug  9 10:17:17 raspberrypi seqgen2: 1HZ W2 release 2 @ sec=2, msec=585
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 41 @ sec=2, msec=635
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=635
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 42 @ sec=2, msec=685
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=685
Aug  9 10:17:17 raspberrypi seqgen2: 10HZ W1 thread release 21 @ sec=2, msec=685
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 43 @ sec=2, msec=735
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=735
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 44 @ sec=2, msec=785
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=785
Aug  9 10:17:17 raspberrypi seqgen2: 10HZ W1 thread release 22 @ sec=2, msec=785
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 45 @ sec=2, msec=835
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=835
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 46 @ sec=2, msec=886
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=886
Aug  9 10:17:17 raspberrypi seqgen2: 10HZ W1 thread release 23 @ sec=2, msec=886
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 47 @ sec=2, msec=936
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=936
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer cycle 48 @ sec=2, msec=986
Aug  9 10:17:17 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=986
Aug  9 10:17:17 raspberrypi seqgen2: 10HZ W1 thread release 24 @ sec=2, msec=986
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer cycle 49 @ sec=3, msec=36
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=36
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer cycle 50 @ sec=3, msec=86
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=86
Aug  9 10:17:18 raspberrypi seqgen2: 10HZ W1 thread release 25 @ sec=3, msec=86
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer cycle 51 @ sec=3, msec=136
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=136
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer cycle 52 @ sec=3, msec=187
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=187
Aug  9 10:17:18 raspberrypi seqgen2: 10HZ W1 thread release 26 @ sec=3, msec=187
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer cycle 53 @ sec=3, msec=237
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=237
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer cycle 54 @ sec=3, msec=287
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=287
Aug  9 10:17:18 raspberrypi seqgen2: 10HZ W1 thread release 27 @ sec=3, msec=287
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer cycle 55 @ sec=3, msec=337
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=337
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer cycle 56 @ sec=3, msec=387
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=387
Aug  9 10:17:18 raspberrypi seqgen2: 10HZ W1 thread release 28 @ sec=3, msec=387
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer cycle 57 @ sec=3, msec=437
