Aug  7 18:46:48 raspberrypi seqgen2: Sequencer @ sec=0, msec=750
Aug  7 18:46:48 raspberrypi seqgen2: 10HZ W1 thread @ sec=0, msec=751
Aug  7 18:46:48 raspberrypi seqgen2: 1HZ W2 thread @ sec=0, msec=752
Aug  7 18:46:48 raspberrypi seqgen2: Sequencer thread start @ sec=0, msec=752
Aug  7 18:46:48 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=0, msec=752
Aug  7 18:46:48 raspberrypi seqgen2: Sequencer cycle 1 @ sec=0, msec=802
Aug  7 18:46:48 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=0, msec=802
Aug  7 18:46:48 raspberrypi seqgen2: Sequencer cycle 2 @ sec=0, msec=852
Aug  7 18:46:48 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=0, msec=852
Aug  7 18:46:48 raspberrypi seqgen2: 10HZ W1 thread release 1 @ sec=0, msec=852
Aug  7 18:46:48 raspberrypi seqgen2: Sequencer cycle 3 @ sec=0, msec=903
Aug  7 18:46:48 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=0, msec=903
Aug  7 18:46:48 raspberrypi seqgen2: Sequencer cycle 4 @ sec=0, msec=953
Aug  7 18:46:48 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=0, msec=953
Aug  7 18:46:48 raspberrypi seqgen2: 10HZ W1 thread release 2 @ sec=0, msec=953
Aug  7 18:46:49 raspberrypi seqgen2: Sequencer cycle 5 @ sec=1, msec=3
Aug  7 18:46:49 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=3
Aug  7 18:46:49 raspberrypi seqgen2: Sequencer cycle 6 @ sec=1, msec=53
Aug  7 18:46:49 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=53
Aug  7 18:46:49 raspberrypi seqgen2: 10HZ W1 thread release 3 @ sec=1, msec=53
Aug  7 18:46:49 raspberrypi seqgen2: Sequencer cycle 7 @ sec=1, msec=103
Aug  7 18:46:49 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=1, msec=103
Aug  7 18:46:49 raspberrypi seqgen2: Sequencer cycle 8 @ sec=1, msec=153
